BYTE 50  //大盾
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 0  //狂嵐
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 100 //切り込み
BYTE 100 //一撃離脱
BYTE 100 //叩き込み
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50
BYTE 50

ALIGN 4



